################################################################################
#  SCENE: DRUMS
#  Generated: 2025-12-24 11:36:45
#  Completed experiments: 45
################################################################################

================================================================================
  TEST METRICS
================================================================================
Method       Name                                    PSNR     SSIM         L1   #Img
cat          noc2f_cat6_6_levels                    31.03   0.9779   0.007256    100
cat          nocfmcmc001op001sc1e4nslmcbce10k_5_levels    31.38   0.9806   0.006767    100
cat          nocfmcmc001op001sc1e4nslmcbce_5_levels    31.28   0.9801   0.006760    100
cat          nocfmcmc001op001sc1e5ns_cat0_0_levels    30.66   0.9792   0.007288    100
cat          nocfmcmc001op001sc1e5ns_cat1_1_levels    31.29   0.9816   0.006759    100
cat          nocfmcmc001op001sc1e5ns_cat2_2_levels    31.31   0.9815   0.006691    100
cat          nocfmcmc001op001sc1e5ns_cat3_3_levels    31.47   0.9819   0.006611    100
cat          nocfmcmc001op001sc1e5ns_cat4_4_levels    31.37   0.9809   0.006750    100
cat          nocfmcmc001op001sc1e5ns_cat5_5_levels    11.71   0.7264   0.113944    100
cat          nocfmcmc001op001sc1e5ns_cat6_6_levels    11.71   0.7264   0.113946    100
diffuse      c2ftest                                27.04   0.9610   0.012072    100
diffuse      c2ftest2                               26.74   0.9576   0.012817    100
specular     c2ftest2                               28.70   0.9699   0.009312    100
================================================================================
